Study Accession	Suppl Concept	Modifier	Disease Background/Stratification, Phenotype/Biomarker, Treatment Response/Side_Effect or Interactions
GCST000004		phenotype	qt interval
GCST000006		phenotype	wet
GCST000007		phenotype	memory performance
GCST000010		phenotype	nicotine dependence
GCST000018		phenotype	late onset
GCST000021		phenotype	nicotine dependence
GCST000026		biomarker	triglyceride
GCST000034		response, biomarker	ximelagatran, alanine aminotransferase
GCST000037		background	er-positive
GCST000037		stratified	ER-positive
GCST000046		phenotype	late onset
GCST000059		phenotype	setpoint viral load
GCST000064		background	type 2 diabetes
GCST000069		biomarker	fetal hemoglobin
GCST000077		biomarker	fasting blood insulin
GCST000077		biomarker	glycated hemoglobin levels
GCST000077		phenotype	insulin sensitivity
GCST000078		biomarker	lipid traits
GCST000079		multiple disease	prostate cancer
GCST000080		biomarker	hemoglobin
GCST000080		biomarker	plasminogen activator inhibitor 1
GCST000080		biomarker	plat
GCST000080		phenotype	mean corpuscular hemoglobin
GCST000080		phenotype	platelet aggregation
GCST000081		phenotype	related phenotypes
GCST000082		biomarker	factor vii
GCST000083		biomarker	alkaline phosphatase
GCST000083		biomarker	atrial natriuretic factor
GCST000083		biomarker	bilirubin
GCST000083		biomarker	ccl2
GCST000083		biomarker	cd40lg (cd40 ligand)
GCST000083		biomarker	c-reactive protein
GCST000083		biomarker	gpt
GCST000083		biomarker	tnf
GCST000083		biomarker	vitamin d
GCST000083		biomarker	vitamin k
GCST000086		phenotype	heart rate
GCST000087		phenotype	ankle brachial index
GCST000087		phenotype	common carotid intimal medial thickness
GCST000087		phenotype	internal carotid intimal medial thickness
GCST000087		phenotype	subclinical atherosclerosis traits
GCST000088		phenotype	volumetric brain mri
GCST000091		biomarker	cystatin c
GCST000096		phenotype	age at death
GCST000096		phenotype	age at menopause
GCST000096		phenotype	exercise test
GCST000097		phenotype	calcification
GCST000099		phenotype	fvc (2 exams)
GCST000100		biomarker	tshb
GCST000101		phenotype	hip geometry
GCST000102		phenotype	endothelial function
GCST000106		phenotype	pulmonary function
GCST000110		phenotype	left atrial function
GCST000110		phenotype	left ventricular function
GCST000111		phenotype	pr interval
GCST000111		phenotype	qt interval
GCST000115		phenotype	red vs non-red hair color
GCST000116		phenotype	skin sensitivity to sun
GCST000117		phenotype	blue vs. green eyes
GCST000118		phenotype	blond vs. brown hair color
GCST000120		phenotype	blue vs. brown eyes
GCST000123		biomarker	urate
GCST000129		phenotype	early onset extreme
GCST000130		biomarker	urate
GCST000131		biomarker	ldl
GCST000132		biomarker	ldl
GCST000133		biomarker	hdl
GCST000134		biomarker	ldl
GCST000135		biomarker	hdl
GCST000137		biomarker	triglyceride
GCST000138		biomarker	triglyceride
GCST000139		biomarker	triglyceride
GCST000140		response	interferon beta for multiple sclerosis
GCST000145		phenotype	general cognitive ability
GCST000147		phenotype	nicotine dependence
GCST000148		background	males
GCST000149		background	females
GCST000150		biomarker	fetal hemoglobin
GCST000151		biomarker	ldl
GCST000156		phenotype	methamphetamine dependence
GCST000160		biomarker	urate
GCST000161		biomarker	urate
GCST000166		phenotype	environmental confusion in the home
GCST000171		phenotype	nicotine dependence
GCST000177		biomarker	chi3l1 (ykl40)
GCST000178		biomarker	c-reactive protein
GCST000179		biomarker	c-reactive protein
