Disease_Trait	MeshId	MeshTerm
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4) levels	D015415	Biomarkers
1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1) levels	D015415	Biomarkers
1,2-dipalmitoyl-gpc (16:0/16:0) levels	D015415	Biomarkers
1,5-anhydroglucitol (1,5-ag) levels	D044882	Glucose Metabolism Disorders
1,5-anhydroglucitol levels	D044882	Glucose Metabolism Disorders
17-hydroxyprogesterone (17-ohp) levels	D019326	17-alpha-Hydroxyprogesterone
19,155 disease classifications in uk biobank (pleiotropy)	D020412	Multifactorial Inheritance
1-arachidonoyl-gpc (20:4n6) levels	D015415	Biomarkers
1-carboxyethylphenylalanine levels	D015415	Biomarkers
1-carboxyethylvaline levels	D015415	Biomarkers
1-linoleoyl-gpc (18:2) levels	D015415	Biomarkers
1-methyl-5-imidazoleacetate levels	D015415	Biomarkers
1-methylhistidine levels	D015415	Biomarkers
1-methylnicotinamide levels	D015415	Biomarkers
1-myristoyl-2-palmitoyl-gpc (14:0/16:0) levels	D015415	Biomarkers
1-oleoyl-gpc (18:1) levels	D015415	Biomarkers
1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels	D015415	Biomarkers
1-palmitoyl-2-docosahexaenoyl-gpc (16:0/22:6) levels	D015415	Biomarkers
1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) levels	D015415	Biomarkers
1-palmitoyl-2-oleoyl-gpc (16:0/18:1) levels	D015415	Biomarkers
1-palmitoyl-2-palmitoleoyl-gpc (16:0/16:1) levels	D015415	Biomarkers
1-palmitoyl-2-stearoyl-gpc (16:0/18:0) levels	D015415	Biomarkers
1-ribosyl-imidazoleacetate levels	D015415	Biomarkers
1-stearoyl-2-arachidonoyl-gpc (18:0/20:4) levels	D015415	Biomarkers
1-stearoyl-2-docosahexaenoyl-gpc (18:0/22:6) levels	D015415	Biomarkers
1-stearoyl-2-linoleoyl-gpc (18:0/18:2) levels	D015415	Biomarkers
1-stearoyl-2-oleoyl-gpc (18:0/18:1) levels	D015415	Biomarkers
1-stearoyl-gpc (18:0) levels	D015415	Biomarkers
2,3-dihydroxy-2-methylbutyrate levels	D015415	Biomarkers
2,3-dihydroxy-5-methylthio-4-pentenoate (dmtpa) levels	D015415	Biomarkers
2,3-dihydroxyisovalerate levels	D015415	Biomarkers
2,4-dienoyl-coa reductase,mitochondrial levels	D042643	Vascular Endothelial Growth Factor D
2-aminobutyrate levels	D015415	Biomarkers
2-aminophenol sulfate levels	D015415	Biomarkers
2'-deoxyuridine levels	D015415	Biomarkers
2-hydroxy-3-methylvalerate levels	D015415	Biomarkers
2-hydroxyadipate levels	D015415	Biomarkers
2-hydroxybutyrate/2-hydroxyisobutyrate levels	D015415	Biomarkers
2-hydroxyglutarate levels	D015415	Biomarkers
2-hydroxyisobutyrate levels	C008039	2-hydroxyisobutyric acid
2-o-methylascorbic acid levels	D015415	Biomarkers
2'-o-methylcytidine levels	D015415	Biomarkers
2-oxoadipate levels	D015415	Biomarkers
2-piperidinone levels	D015415	Biomarkers
3-(3-amino-3-carboxypropyl)uridine levels	D015415	Biomarkers
3-(4-hydroxyphenyl)lactate levels	D015415	Biomarkers
3-amino-2-piperidone levels	D015415	Biomarkers
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) levels	D015415	Biomarkers
3-hydroxy-1-methylpropylmercapturic acid levels in smokers	D016540	Smoking Cessation
3-hydroxy-2-ethylpropionate levels	D015415	Biomarkers
3-hydroxy-3-methylglutarate levels	D015415	Biomarkers
3-hydroxybutyrate (bhba) levels	D015415	Biomarkers
3-hydroxyhexanoate levels	D015415	Biomarkers
3-hydroxyoctanoate levels	D015415	Biomarkers
3-hydroxypropylmercapturic acid levels in smokers	D016540	Smoking Cessation
3-hydroxypyridine sulfate levels	D015415	Biomarkers
3-hydroxystachydrine levels	D015415	Biomarkers
3-indoxyl sulfate levels	D015415	Biomarkers
3-methoxytyramine sulfate levels	D015415	Biomarkers
3-methoxytyrosine levels	D015415	Biomarkers
3-methyl-2-oxobutyrate levels	D015415	Biomarkers
3-methyl-2-oxovalerate levels	D015415	Biomarkers
3-methylglutaconate levels	D015415	Biomarkers
3-methylglutarylcarnitine (2) levels	D015415	Biomarkers
3-methylhistidine levels	D015415	Biomarkers
3-methylxanthine levels	D015415	Biomarkers
3-month functional outcome in ischaemic stroke (modified rankin score)	D020521	Stroke
3-month functional outcome in lacunar ischaemic stroke (modified rankin score)	D020521	Stroke
3-month functional outcome in non-lacunar ischaemic stroke (modified rankin score)	D020521	Stroke
3-ureidopropionate levels	D015415	Biomarkers
4-acetamidobutanoate levels	D015415	Biomarkers
4-chlorobenzoic acid levels	D015415	Biomarkers
4-deoxythreonic acid levels	C546216	4-deoxythreonic acid
4-methyl-2-oxopentanoate levels	D015415	Biomarkers
4-methylcatechol sulfate levels	D015415	Biomarkers
4-pyridoxic acid levels	D014804	Vitamin B Deficiency
5,6-dihydrothymine levels	D015415	Biomarkers
5,6-dihydrouridine levels	D015415	Biomarkers
5-acetylamino-6-amino-3-methyluracil levels	D015415	Biomarkers
5-htt brain serotonin transporter levels	D009422	Nervous System Diseases
5-hydroxyhexanoate levels	D015415	Biomarkers
5-hydroxyindoleacetate levels	D015415	Biomarkers
5-methylcytidine levels	D015415	Biomarkers
5-methylthioadenosine (mta) levels	D015415	Biomarkers
5-methyluridine (ribothymidine) levels	D015415	Biomarkers
5-oxoproline levels	D011761	Pyrrolidonecarboxylic Acid
6-month creatinine clearance change response to tenofovir treatment in hiv infection (concomitant antiretroviral treatment interaction)	D004305	Dose-Response Relationship, Drug
6-month creatinine clearance change response to tenofovir treatment in hiv infection (treatment arm interaction)	D015658	HIV Infections
6-oxopiperidine-2-carboxylate levels	D015415	Biomarkers
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-hoca) levels	D015415	Biomarkers
7-methylguanine levels	D015415	Biomarkers
7-methylxanthine levels	D015415	Biomarkers
abdominal aortic aneurysm	D017544	Aortic Aneurysm, Abdominal
abdominal aortic calcification levels	D061205	Vascular Calcification
abdominal subcutaneous adipose tissue volume	D050151	Subcutaneous Fat
ability to confide in someone	D012934	Social Isolation
abnormal white matter microstructure in first episode schizophrenia (multivariate analysis)	D012559	Schizophrenia
abruptio placentae	D000037	Abruptio Placentae
abstraction and mental flexibility	D056344	Executive Function
academic attainment (english)	D000124	Achievement
academic attainment (maths)	D000124	Achievement
academic attainment (science)	D000124	Achievement
accelerated cognitive decline after conversion of mild cognitive impairment to alzheimer's disease (alzhiemer's diagnosis trajectory interaction)	D000544	Alzheimer Disease
accelerometer-based physical activity measurement (average acceleration)	D015444	Exercise
accelerometer-based physical activity measurement (fraction of time with accelerations >425 milli-gravities)	D015444	Exercise
accommodative esotropia	D004948	Esotropia
accrued duration of remission in mepolizumab-treated eosinophilic granulomatosis with polyangiitis	D018572	Disease-Free Survival
acenocoumarol maintenance dosage	D010599	Pharmacokinetics
acetone levels	D000096	Acetone
acetylcarnitine (c2) levels	D015415	Biomarkers
acetylcarnitine levels	D000108	Acetylcarnitine
acetylornithine levels	D015415	Biomarkers
achilles tendinopathy	D052256	Tendinopathy
acisoga levels	D015415	Biomarkers
acne	D000152	Acne Vulgaris
acne (severe)	D000152	Acne Vulgaris
acne (severe teenage)	D000152	Acne Vulgaris
acoustic startle blink response	D020127	Recovery of Function
acpa-negative rheumatoid arthritis (smoking interaction)	D001172	Arthritis, Rheumatoid
acpa-positive rheumatoid arthritis (smoking interaction)	D001172	Arthritis, Rheumatoid
activated cd4 regulatory t cell absolute count	D042643	Vascular Endothelial Growth Factor D
activated cd4 regulatory t cell %cd4 regulatory t cell	D042643	Vascular Endothelial Growth Factor D
activated cd4 regulatory t cell %cd4+ t cell	D042643	Vascular Endothelial Growth Factor D
activated partial thromboplastin time	D010314	Partial Thromboplastin Time
activated & resting cd4 regulatory t cell absolute count	D042643	Vascular Endothelial Growth Factor D
activated & resting cd4 regulatory t cell %cd4 regulatory t cell	D042643	Vascular Endothelial Growth Factor D
activated & resting cd4 regulatory t cell %cd4+ t cell	D042643	Vascular Endothelial Growth Factor D
activated & secreting cd4 regulatory t cell absolute count	D042643	Vascular Endothelial Growth Factor D
activated & secreting cd4 regulatory t cell %cd4 regulatory t cell	D042643	Vascular Endothelial Growth Factor D
activated & secreting cd4 regulatory t cell %cd4+ t cell	D042643	Vascular Endothelial Growth Factor D
activities of daily living score	D000203	Activities of Daily Living
activity variability during wake	D015444	Exercise
acute anterior uveitis in ankylosing spondylitis	D014606	Uveitis, Anterior
acute anterior uveitis (with or without ankylosing spondylitis)	D014606	Uveitis, Anterior
acute appendicitis	D001064	Appendicitis
acute cholecystitis	D041881	Cholecystitis, Acute
acute coronary syndrome	D054058	Acute Coronary Syndrome
acute graft rejection in renal transplantation (donor effect)	D016030	Kidney Transplantation
acute graft rejection in renal transplantation (donor-recipient interaction)	D016030	Kidney Transplantation
acute graft rejection in renal transplantation (recipient effect)	D006086	Graft vs Host Disease
acute graft versus host disease	D006086	Graft vs Host Disease
acute graft-versus-host disease in allogeneic hematopoietic stem cell transplantation	D006086	Graft vs Host Disease
acute graft versus host disease in bone marrow transplantation (donor effect)	D006086	Graft vs Host Disease
acute graft versus host disease in bone marrow transplantation (recipient effect)	D006086	Graft vs Host Disease
acute insulin response	D006946	Hyperinsulinism
acute insulin response (insulin secretion adjusted)	D006946	Hyperinsulinism
acute insulin response (insulin secretion and bmi adjusted)	D006946	Hyperinsulinism
